Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Turbomeca,Astafan 4,NA,2414,10738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett,ATF3,"Sabreliner 60, HFB 330",4050,18015,NA,NA,0.440,1.2363E-05,NA,NA,17.00,NA,NA,NA,NA,NA,NA,3.00,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett,ATF3-6,"Falcon 10, Learjet 31/31A, SA-28T",5200,23131,1099,4889,0.520,1.4611E-05,0.810,2.2762E-05,21.00,40026,12.200,216.650,0.80,4.2759E-08,1.2669E-05,2.90,1981,1124,510,3,NA,NA,102.00,2.5908,33.60,0.8534,1.4821,,,,,
Turbomeca,Aubisque 1A,Saab 105,1635,7273,NA,NA,0.600,1.6858E-05,NA,NA,6.90,NA,NA,NA,NA,NA,NA,2.00,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.25 Mk.502,Comet 2,6500,28913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.25 Mk.503,Comet 2,6500,28913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.25 Mk.504,Comet 2E,6500,28913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.26 Mk.522,Comet 4,10000,44482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.29 Mk.522,Caravelle 1,10500,46706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.29 Mk.523,Comet 3,10500,46706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Avon RA.29/1 Mk.524,Comet 2E/4,10250,45594,NA,NA,0.786,2.2085E-05,NA,NA,8.80,NA,NA,NA,NA,NA,NA,NA,NA,3340,1515,1,NA,NA,126.00,3.2004,39.00,0.9906,2.4666,,,,,
Rolls-Royce,Avon RA.29/1 Mk.525B,Comet 4B/4C,10498,46697,NA,NA,NA,NA,NA,NA,8.80,NA,NA,NA,NA,NA,NA,NA,NA,3340,1515,1,NA,NA,126.00,3.2004,39.00,0.9906,2.4666,,,,,
Rolls-Royce,Avon RA.29/1 Mk.526,Caravelle 1A,10250,45594,NA,NA,0.786,2.2085E-05,NA,NA,8.80,NA,NA,NA,NA,NA,NA,NA,NA,3340,1515,1,NA,NA,126.00,3.2004,39.00,0.9906,2.4666,,,,,
Rolls-Royce,Avon RA.29/3 Mk.527B,Caravelle 3,11400,50710,NA,NA,0.853,2.3967E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3350,1520,1,NA,NA,126.00,3.2004,39.00,0.9906,2.4666,,,,,
Rolls-Royce,Avon RA.29/6 Mk.531B,Caravelle 6N,12200,54268,NA,NA,0.802,2.2534E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3490,1583,1,NA,NA,134.00,3.4036,39.00,0.9906,2.6232,,,,,
Rolls-Royce,Avon RA.29/6 Mk.533R,Caravelle 6R,12600,56048,NA,NA,0.785,2.2056E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,134.00,3.4036,39.00,0.9906,2.6232,,,,,
Rolls-Royce,Avon RA.29/6 Mk.535R,Caravelle 6R,12600,56048,NA,NA,0.785,2.2056E-05,NA,NA,10.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,134.00,3.4036,39.00,0.9906,2.6232,,,,,
Rolls-Royce,Avon RA.7 Mk.117,Comet 2R,7350,32694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Turbomeca,Bastafan,NA,1765,7851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
