Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
CFM ,CFM56-5B4/2,A320-214,27000,120102,5000,22241,0.340,9.5531E-06,0.586,1.6467E-05,29.10,35000,10.668,218.818,0.80,3.4324E-08,8.3247E-06,5.70,1994,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B4/2P,A320-214,27000,120102,5000,22241,0.340,9.5531E-06,0.586,1.6467E-05,29.10,35000,10.668,218.818,0.80,3.4324E-08,8.3247E-06,5.70,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B4/P,A320-214,27000,120102,5000,22241,0.340,9.5531E-06,0.586,1.6467E-05,29.10,35000,10.668,218.818,0.80,3.4324E-08,8.3247E-06,5.70,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B5,A319-111,22000,97861,5020,22330,0.320,8.9911E-06,0.600,1.6861E-05,24.40,35000,10.668,218.818,0.80,3.8046E-08,7.8350E-06,6.00,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B5/P,A319-111,22000,97861,5020,22330,0.320,8.9911E-06,0.610,1.7142E-05,24.40,35000,10.668,218.818,0.80,3.9231E-08,7.8350E-06,6.00,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B6 ,A319-112,23500,104533,5020,22330,0.330,9.2721E-06,0.600,1.6861E-05,25.80,35000,10.668,218.818,0.80,3.7014E-08,8.0799E-06,5.90,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B6/2,A319-112,23500,104533,5020,22330,0.330,9.2721E-06,0.600,1.6861E-05,25.80,35000,10.668,218.818,0.80,3.7014E-08,8.0799E-06,5.90,1995,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B6/2P,A319-112,23500,104533,5020,22330,0.330,9.2721E-06,0.600,1.6861E-05,25.80,35000,10.668,218.818,0.80,3.7014E-08,8.0799E-06,5.90,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B6/P,A319-112,23500,104533,5020,22330,0.330,9.2721E-06,0.600,1.6861E-05,25.80,35000,10.668,218.818,0.80,3.7014E-08,8.0799E-06,5.90,1996,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B7,NA,27000,120102,5840,25978,0.340,9.5531E-06,0.580,1.6299E-05,29.10,35000,10.668,218.818,0.80,3.3613E-08,8.3247E-06,5.70,1999,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B7/P,A319-115/-115CJ/-115XCJ,27000,120102,5840,25978,0.340,9.5531E-06,0.590,1.6580E-05,29.10,35000,10.668,218.818,0.80,3.4797E-08,8.3247E-06,5.90,1999,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B8,A318-111 ,21600,96082,5020,22330,0.340,9.5531E-06,0.580,1.6299E-05,26.00,35000,10.668,218.818,0.80,3.3613E-08,8.3247E-06,6.00,2002,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5B9,A318-112 ,23300,103644,5020,22330,NA,NA,NA,NA,26.00,35000,10.668,218.818,0.80,NA,NA,5.90,2002,5250,2381,2,68.30,1.7348,102.40,2.6010,72.00,1.8288,6.8321,,,,,
CFM ,CFM56-5C2,A340-211/-311,31200,138784,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,31.50,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1991,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C2/4,NA,NA,NA,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1994,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C2/F,NA,NA,NA,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1994,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C2/F4,NA,NA,NA,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1994,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C2/G,NA,NA,NA,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1994,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C2/G4,NA,NA,NA,6915,30759,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.60,1994,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C3,A340-212/-312,32500,144567,6910,30737,0.320,8.9911E-06,0.545,1.5315E-05,32.60,35000,10.668,218.818,0.80,3.1531E-08,7.8350E-06,6.50,1991,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C3/F,A340-312,32500,144567,6910,30737,0.320,8.9911E-06,0.545,1.5315E-05,32.60,35000,10.668,218.818,0.82,3.0762E-08,7.8350E-06,6.50,1993,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C3/F4 ,NA,NA,NA,6910,30737,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.82,3.0762E-08,7.8350E-06,6.30,NA,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C3/G,NA,NA,NA,6910,30737,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.82,3.0762E-08,7.8350E-06,6.30,NA,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C3/G4,NA,NA,NA,6910,30737,0.320,8.9911E-06,0.545,1.5315E-05,NA,35000,10.668,218.818,0.82,3.0762E-08,7.8350E-06,6.30,NA,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C4,A340-213/-213X/-313/-313X,34000,151239,7100,31582,0.330,9.2721E-06,0.545,1.5315E-05,33.90,35000,10.668,218.818,0.80,3.0499E-08,8.0799E-06,6.40,1991,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-5C4/P,NA,34000,151239,7100,31582,0.330,9.2721E-06,0.545,1.5315E-05,33.90,35000,10.668,218.818,0.80,3.0499E-08,8.0799E-06,6.40,2003,5700,2585,2,72.30,1.8364,103.00,2.6162,76.60,1.9456,7.7783,,,,,
CFM ,CFM56-7B18,737-600 (option),18500,82292,5420,24109,0.350,9.8341E-06,0.570,1.6018E-05,21.70,35000,10.668,218.818,0.80,3.1396E-08,8.5695E-06,5.60,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B20,737-600/-700,20600,91633,5450,24243,0.360,1.0115E-05,0.633,1.7788E-05,22.70,35000,10.668,218.818,0.80,3.7827E-08,8.8144E-06,5.60,1997,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B20/2,NA,NA,NA,5450,24243,0.360,1.0115E-05,0.633,1.7788E-05,NA,35000,10.668,218.818,0.80,3.7827E-08,8.8144E-06,5.60,1997,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B22 ,737-600/-700/-700BBJ/-800/-800BBJ2,22000,97861,5450,24243,0.360,1.0115E-05,0.610,1.7142E-05,24.60,35000,10.668,218.818,0.80,3.5102E-08,8.8144E-06,5.40,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B22/2,NA,NA,NA,5450,24243,0.360,1.0115E-05,0.610,1.7142E-05,NA,35000,10.668,218.818,0.80,3.5102E-08,8.8144E-06,5.40,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B22/B1,NA,NA,NA,5450,24243,0.360,1.0115E-05,0.610,1.7142E-05,NA,35000,10.668,218.818,0.80,3.5102E-08,8.8144E-06,5.40,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B24,"737-700/-800/-900, 737-700BBJ/-800BBJ2 (option)",24000,106757,5480,24376,0.370,1.0396E-05,0.627,1.7619E-05,26.00,35000,10.668,218.818,0.80,3.6084E-08,9.0592E-06,5.30,1997,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B24/2,NA,NA,NA,5480,24376,0.370,1.0396E-05,0.627,1.7619E-05,NA,35000,10.668,218.818,0.80,3.6084E-08,9.0592E-06,5.30,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B24/B1,NA,NA,NA,5480,24376,0.370,1.0396E-05,0.627,1.7619E-05,NA,35000,10.668,218.818,0.80,3.6084E-08,9.0592E-06,5.30,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B26,737-700/-700BBJ/-800/-800BBJ2/-900,26400,117433,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,27.90,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.10,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B26/2 ,NA,NA,NA,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,NA,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.10,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B26/B1,NA,NA,NA,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,NA,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.10,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B27,"737-600/-800, 737-700/-900 (option)",27300,121436,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,28.90,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.10,1996,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B27/2,NA,NA,NA,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,NA,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.30,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B27/B1,NA,NA,NA,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,NA,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.30,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-7B27/B3,NA,NA,NA,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,NA,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.30,NA,5216,2366,2,61.00,1.5494,98.90,2.5121,65.00,1.6510,5.3779,,,,,
CFM ,CFM56-9 ,"A316/A317 (A31X), BRJ-X, AE-100, N-2130 (not produced)",20000,88964,5480,24376,0.380,1.0677E-05,0.600,1.6861E-05,32.20,35000,10.668,218.818,0.80,3.1854E-08,9.3041E-06,5.08,NA,4252,1929,2,NA,NA,91.70,2.3292,56.00,1.4224,3.7011,,,,,
GE,CJ610-1,"Learjet 23, HFB 320, 1121A Commdore",2850,12677,NA,NA,0.990,2.7816E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,181,1,NA,NA,51.10,1.2979,17.70,0.4496,0.2060,,,,,
GE,CJ610-4,Learjet 23/24,2850,12677,NA,NA,0.990,2.7816E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,176,1,NA,NA,45.40,1.1532,17.70,0.4496,0.1831,,,,,
GE,CJ610-5,"HFB 320, 1121B/1122 Commodore",2950,13122,NA,NA,0.980,2.7535E-05,NA,NA,6.80,NA,NA,NA,NA,NA,NA,NA,NA,402,182,1,NA,NA,51.10,1.2979,17.70,0.4496,0.2060,,,,,
GE,CJ610-6,"Learjet 24B/D, Learjet 24C (not produced)",2950,13122,NA,NA,0.980,2.7535E-05,NA,NA,6.80,NA,NA,NA,NA,NA,NA,NA,NA,392,178,1,NA,NA,45.40,1.1532,17.70,0.4496,0.1831,,,,,
GE,CJ610-8,HFB 320,2950,13122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,185,1,NA,NA,45.40,1.1532,17.70,0.4496,0.1831,,,,,
GE,CJ610-8A,Learjet 24E/F/25B/25C/25D/28/29,2950,13122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,185,1,NA,NA,45.40,1.1532,17.70,0.4496,0.1831,,,,,
GE,CJ610-9,"HFB 320, 1123 Commodore",3100,13789,NA,NA,1.000,2.8097E-05,NA,NA,6.80,NA,NA,NA,NA,NA,NA,NA,NA,417,189,1,NA,NA,51.10,1.2979,17.70,0.4496,0.2060,,,,,
GE,CJ805-21,Caravelle 7/10A,14997,66710,2867,12753,0.560,1.5735E-05,0.760,2.1357E-05,12.00,36090,11.000,216.658,0.80,3.2676E-08,1.3643E-05,1.50,1960,3704,1680,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CJ805-23B,Convair CV-990/-990A,16100,71616,NA,NA,0.530,1.4892E-05,NA,NA,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CJ805-3,Convair CV-880,11200,49820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CJ805-3A,Convair CV-880,11200,49820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
GE,CJ805-3B,Convair CV-880,11650,51822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Conway RCo.12 Mk.508,707-420/-420F,17500,77844,4625,20573,0.726,2.0399E-05,0.822,2.3099E-05,14.10,36000,10.973,216.837,0.83,2.2057E-08,1.7695E-05,0.30,1957,4540,2059,2,NA,NA,132.40,3.3630,42.00,1.0668,3.0059,,,,,
Rolls-Royce,Conway RCo.12 Mk.508A,707-420,18000,80068,4625,20573,0.735,2.0652E-05,0.822,2.3099E-05,14.00,36000,10.973,216.837,0.83,2.1161E-08,1.7914E-05,0.30,1957,4540,2059,2,NA,NA,132.40,3.3630,42.00,1.0668,3.0059,,,,,
Rolls-Royce,Conway RCo.12 Mk.509,DC-8-41/-42/-43/-43F,17500,77844,4625,20573,0.735,2.0652E-05,0.822,2.3099E-05,14.10,36000,10.973,216.837,0.83,2.1161E-08,1.7914E-05,0.30,1960,4540,2059,2,NA,NA,132.40,3.3630,42.00,1.0668,3.0059,,,,,
Rolls-Royce,Conway RCo.12 Mk.509A,DC-8-41/-42/-43/-43F,18000,80068,4625,20573,0.735,2.0652E-05,0.822,2.3099E-05,14.00,36000,10.973,216.837,0.83,2.1161E-08,1.7914E-05,0.30,1960,4540,2059,2,NA,NA,132.40,3.3630,42.00,1.0668,3.0059,,,,,
Rolls-Royce,Conway RCo.42 Mk.540,"VC,10 Type 1101/1102/1103/1109",20370,90610,5250,23353,0.656,1.8432E-05,0.840,2.3605E-05,14.80,36000,10.973,216.837,0.83,3.1085E-08,1.5989E-05,0.60,1962,5000,2268,2,NA,NA,154.00,3.9116,50.00,1.2700,4.9551,,,,,
Rolls-Royce,Conway RCo.43D Mk.550B,"Super VC,10 Type 1151/1154",21800,96971,5345,23776,0.590,1.6577E-05,0.819,2.3015E-05,15.80,36000,10.973,216.837,0.83,3.5242E-08,1.4380E-05,0.60,1965,5100,2313,2,NA,NA,154.00,3.9116,50.00,1.2700,4.9551,,,,,
Perm Aviadvigatel,D-100,NA,42000,186825,NA,NA,NA,NA,NA,NA,35.00,NA,NA,NA,NA,NA,NA,8.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Perm Aviadvigatel,D-110,NA,44090,196122,NA,NA,NA,NA,NA,NA,31.00,NA,NA,NA,NA,NA,NA,3.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Perm Aviadvigatel,D-120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Instytut Lotnictwa,D-18A,NA,3968,17651,NA,NA,0.740,2.0792E-05,NA,NA,8.00,NA,NA,NA,NA,NA,NA,0.70,NA,838,380,2,NA,NA,76.40,1.9406,35.40,0.8992,1.2322,,,,,
Lotarev (Motor Sich),D-18T,"An-124-100 'Condor', An-225 'Mriya'",51660,229795,10716,47667,0.360,1.0115E-05,0.570,1.6018E-05,25.00,36100,11.003,216.639,0.75,3.2750E-08,8.7704E-06,5.60,1982,9040,4100,3,91.70,2.3292,212.60,5.4000,115.60,2.9362,36.5654,,,,,
Lotarev (Motor Sich),D-18T-1,An-218-100,48148,214173,11596,51582,0.360,1.0115E-05,0.615,1.7282E-05,NA,36100,11.003,216.639,0.80,3.6060E-08,8.7704E-06,5.60,1982,9040,4100,3,91.70,2.3292,212.60,5.4000,115.60,2.9362,36.5654,,,,,
Lotarev (Motor Sich),D-18T-3,An-124-100M (proposed),51660,229795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.60,1982,9040,4100,3,91.70,2.3292,212.60,5.4000,115.60,2.9362,36.5654,,,,,
Lotarev (Progress),D-18TM,An-218 (proposed),55777,248108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50,NA,10470,4749,3,NA,NA,224.50,5.7023,117.60,2.9870,39.9597,,,,,
Lotarev (Progress),D-18TR,An-218-200/-300 (proposed),60627,269682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10470,4749,3,NA,NA,224.50,5.7023,117.60,2.9870,39.9597,,,,,
Solovyev,D-20,NA,11905,52956,2426,10791,0.620,1.7420E-05,0.780,2.1919E-05,NA,32808,10.000,223.161,0.82,2.6831E-08,1.5330E-05,1.00,1960,3236,1468,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-20P,Tu-124K/K2/V,11905,52956,2426,10791,0.620,1.7420E-05,0.780,2.1919E-05,13.60,32808,10.000,223.161,0.80,2.7502E-08,1.5330E-05,1.00,1960,3236,1468,2,NA,NA,130.00,3.3020,38.30,0.9728,2.4543,,,,,
Perm Aviadvigatel,D-21A1,S-21,11750,52267,NA,NA,NA,NA,NA,NA,20.20,NA,NA,NA,NA,NA,NA,0.83,NA,4630,2100,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-30-1,Tu-134/-134K/-134LK,14990,66679,NA,NA,0.600,1.6858E-05,NA,NA,18.60,NA,NA,NA,NA,NA,NA,1.00,1963,3420,1551,2,NA,NA,156.80,3.9827,41.30,1.0490,3.4422,,,,,
Solovyev,D-30-2,Tu-134A/AK/AN/B/B-1,14990,66679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-30-3,Tu-134A-3/B-3/BW,14990,66679,NA,NA,0.608,1.7083E-05,NA,NA,17.70,NA,NA,NA,NA,NA,NA,1.00,1963,3420,1551,2,NA,NA,156.80,3.9827,41.30,1.0490,3.4422,,,,,
Solovyev (Perm Aviadvigatel),D-30K,Tu-154M,25362,112816,6065,26978,0.481,1.3515E-05,0.781,2.1947E-05,20.00,36090,11.000,216.658,0.80,4.3330E-08,1.1719E-05,2.30,1982,4740,2150,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-30KP,Il-76T,26460,117700,NA,NA,0.481,1.3515E-05,NA,NA,18.40,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-30KP-2,Il-76TD/MDP/LL,26460,117700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev,D-30KPV,A-40,26460,117700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,224.00,5.6896,61.40,1.5596,10.8687,,,,,
Solovyev (Perm Aviadvigatel),D-30KU,Il-62M (Il-62-200),24250,107869,6063,26970,0.495,1.3908E-05,0.700,1.9671E-05,17.40,36090,11.000,216.658,0.80,3.2242E-08,1.2060E-05,2.35,1982,5880,2667,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),D-30KU-2,Il-62M (Il-62-200),23850,106090,6063,26970,0.495,1.3908E-05,0.700,1.9671E-05,NA,36090,11.000,216.658,0.80,3.2242E-08,1.2060E-05,2.35,1982,5110,2318,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Solovyev (Perm Aviadvigatel),D-30KU-90,NA,26455,117678,6063,26970,0.495,1.3908E-05,0.700,1.9671E-05,NA,36090,11.000,216.658,0.80,3.2242E-08,1.2060E-05,2.44,1982,5290,2400,2,NA,NA,224.40,5.6998,61.40,1.5596,10.8881,,,,,
Solovyev (Perm Aviadvigatel),D-30U-154,Tu-154M,14990,66679,NA,NA,0.600,1.6858E-05,NA,NA,18.60,NA,NA,NA,NA,NA,NA,1.00,1968,3420,1551,2,NA,NA,156.80,3.9827,41.30,1.0490,3.4422,,,,,
Progress,D-36-1,An-74,14330,63743,3527,15689,0.360,1.0115E-05,0.650,1.8266E-05,18.70,26250,8.001,236.154,0.75,3.9425E-08,9.1569E-06,6.30,1993,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-36-1A,An-74,NA,NA,NA,NA,NA,NA,NA,NA,18.70,NA,NA,NA,NA,NA,NA,6.30,NA,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-36-2A,"An-74, An-74D-200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-36-3A,"An-74-200, An-74T-100/-200A, An-74TK-100/200, An-74D-200, An-74VIP",14330,63743,NA,NA,0.360,1.0115E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-36-4A,"AN-74T-300, An-74TK-300",14330,63743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-36-5A,An-148 (proposed engine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.30,NA,2450,1111,3,NA,NA,136.60,3.4696,54.10,1.3741,5.1456,,,,,
Progress,D-436-148,An-148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Progress,D-436K,(see military turbofan specifications),16535,73551,NA,NA,NA,NA,NA,NA,21.00,NA,NA,NA,NA,NA,NA,6.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Progress,D-436T1,Tu-334-100,16865,75019,3307,14710,0.370,1.0396E-05,0.611,1.7170E-05,25.20,36090,11.000,216.658,0.75,3.6852E-08,9.0144E-06,4.95,1996,3200,1451,3,54.10,1.3741,NA,NA,NA,NA,NA,,,,,
Progress,D-436T1-134,Tu-134M (proposed),NA,NA,3307,14710,NA,NA,0.611,1.7170E-05,NA,36090,11.000,216.658,0.75,NA,NA,4.95,1996,3200,1451,3,54.10,1.3741,NA,NA,NA,NA,NA,,,,,
Progress,D-436T2,"Tu-334-100D, Tu-354 (Tu-334-200)",18078,80415,NA,NA,NA,NA,NA,NA,26.20,NA,NA,NA,NA,NA,NA,4.90,NA,3200,1451,3,54.10,1.3741,NA,NA,NA,NA,NA,,,,,
Progress,D-436TM,Yak-42-200 (Yak-42M) (proposed),16865,75019,NA,NA,NA,NA,NA,NA,25.20,NA,NA,NA,NA,NA,NA,4.95,NA,3200,1451,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Progress,D-436TP,Be-200,16535,73551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Derwent RB.37 5/17,C-102 Jetliner,3600,16014,NA,NA,NA,NA,NA,NA,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,,,,,
Williams,EJ22-1,Eclipse 500 (candidate engine),700,3114,NA,NA,0.460,1.2925E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,2000,85,39,2,NA,NA,41.00,1.0414,14.50,0.3683,0.1109,,,,,
Williams,FJ22-1,(see EJ22-1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Williams,FJ33-1,"Aerostar, Century Jet, FJ-100, Leopard Six",1200,5338,NA,NA,0.410,1.1520E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.93,1988,300,136,2,NA,NA,47.90,1.2167,19.00,0.4826,0.2226,,,,,
